prompt,image_name,index,Quality,Authenticity,Correspondence,score_1,score_2,score_3,score_4,score_5,generated_answer
a corgi,Controlnet/000-1.png,0,0.601641784272688,0.4724654086896269,0.599858733492637,4,4,3,2,3,A 3D rendered corgi figurine stands on a carpeted floor in profile. The anatomy is stable but the neck collar shows fused textural confusion. Surfaces appear waxy with softened details and repetitive background textures.
a corgi,Controlnet/000-2.png,0,0.547488782945869,0.424822427887229,0.572338260012088,3,3,3,2,3,A 3D-rendered Corgi dog stands on a concrete surface in bright light. Facial features and paws exhibit minor geometric warping and simplified anatomy. Fur appears waxy with repetitive background grain.
a corgi,Controlnet/000-3.png,0,0.493219284850192,0.415136888570317,0.535424148920043,3,4,3,2,1,A stylized corgi figurine stands centrally on a textured grey surface. The subject displays a fused extra limb on its flank and a distorted torso. Heavy grain and soft edges obscure fine surface details.
a corgi,Controlnet/000-4.png,0,0.570137695922788,0.515801608187804,0.602230739812681,4,4,4,3,3,"A photorealistic close-up portrait of a corgi on a carpet. The subject is recognizable, yet its paws and mouth show anatomical inconsistencies. Fur appears waxy and the background contains repetitive texture patterns."
a corgi,DALLE/000-1.png,0,0.698963010426329,0.674662469470443,0.662880370629596,4,3,3,3,3,A photorealistic close-up portrait of a corgi dog indoors. The subject's facial features and harness exhibit subtle anatomical distortions and fusion. Fur textures appear waxy with softened details and background melting artifacts.
a corgi,DALLE/000-2.png,0,0.621103934515632,0.606257237019357,0.656949028810416,4,4,4,3,3,A photorealistic corgi stands centered in a lush garden with shallow depth of field. The canine subject features coherent anatomy and a naturally expressive face. Sharp fur details contrast with the smooth background bokeh.
a corgi,DALLE/000-3.png,0,0.633029793764934,0.621333698516614,0.639382687783885,3,3,2,3,2,A photorealistic close-up portrait of a corgi sitting by a grassy stream. The subject is structurally coherent with a well-defined face and consistent anatomy. Textures and edges show no dominant local artifact.
a corgi,DALLE/000-4.png,0,0.663023031617994,0.695902433929191,0.70820394857775,3,4,3,3,3,A corgi dog peeks from behind a door frame indoors. The subject maintains stable anatomy with clear facial features and natural proportions. Fur textures lack fine detail and the background appears artificially melted.
a corgi,Glide/000-1.png,0,0.384188142476458,0.494165945267182,0.525659481838369,2,3,2,3,3,A close-up shows a dog's face with an open mouth against a dark background. The subject is recognizable but the mouth area appears slightly distorted. Global blurring flattens textures and obscures sharp edges everywhere.
a corgi,Glide/000-2.png,0,0.374449329961749,0.485396888815793,0.501843868646045,3,3,4,3,3,A close-up photorealistic portrait of a dog's face with soft lighting. The canine nose and mouth area is fused with poor structural clarity. Global oversmoothing flattens fur texture and obscures fine edge definition.
a corgi,Glide/000-3.png,0,0.407556092381559,0.459588880952931,0.549009153957545,2,2,2,2,3,A close-up portrait of a corgi dog against a plain background. The subject is structurally stable but lacks detail due to pervasive blurring. Global oversmoothing completely removes fur texture and sharp edge definition.
a corgi,Glide/000-4.png,0,0.439772703225667,0.528685969225672,0.592582928423943,2,3,2,3,3,A close-up view depicts a corgi dog against a blurred green background. The dog's face is structurally plausible but exhibits smeared and indistinct features. Severe global oversmoothing removes all natural texture and edge definition.
a corgi,Lafite/000-1.png,0,0.3399559394834739,0.347772395611889,0.38046184930783,2,2,2,2,3,A close-up digital painting shows a distorted dog-like creature on a paved surface. The subject features a warped face and fused limbs with poor structural coherence. Oversmoothing flattens textures and blurs fine details.
a corgi,Lafite/000-2.png,0,0.332957427138365,0.327053313096475,0.412714708790357,1,2,2,1,3,"A close-up of a distorted puppy sitting on a paved outdoor surface. The subject exhibits severe facial malformations, fused paws, and impossible anatomy. Textures appear waxy and oversmoothed with blurred edges and poor definition."
