prompt,image_name,index,quality_score,std_quality,mos_align,std_align,generated_answer
statue of a man,AttnGAN_normal_000.jpg,0,0.965602553,0.223270101,0.40889324,0.615607722,A heavily distorted digital figure stands against a plain light background. The subject exhibits severe anatomical fusion with faces embedded in malformed limbs. Global blur and waxy textures obscure all fine surface details.
statue of a man,DALLE2_normal_000.jpg,0,3.058757207,0.538696487,3.481534167,0.46101074,A close-up profile shows a stone bust sculpture against a textured wall. The head structure is coherent despite a malformed ear and facial pitting. Global details appear oversmoothed while the background exhibits heavy blur.
statue of a man,glide_normal_000.jpg,0,1.478221045,0.512782138,1.511295292,1.049921294,A dark distorted statue stands on a pedestal in a grassy field. The subject's anatomy is severely malformed with fused limbs and broken contours. Heavy noise and jagged edges dominate the visual texture.
statue of a man,midjourney_lowstep_000.jpg,0,2.837204233,0.410622239,4.093672499,0.493239159,A photorealistic image shows a classical male statue in an architectural niche. The subject's anatomy and drapery lack clear definition and structural stability. Heavy blur and waxy smoothing obscure fine textures.
statue of a man,midjourney_normal_000.jpg,0,4.324875409,0.596421622,4.04858855,0.2982765,A photorealistic bronze statue of a bearded man stands before classical columns. The subject features malformed hands and physically impossible drapery folds. Textures show subtle oversmoothing and a lack of sharp micro-detail.
statue of a man,sd1.5_highcorr_000.jpg,0,3.283005153,0.723740275,3.185246111,0.592719018,A rear view of a bronze male statue on a park pedestal. Subject anatomy is coherent though the waist and hands appear simplified. Surfaces show waxy smoothing and background textures display repetitive patterns.
statue of a man,sd1.5_lowcorr_000.jpg,0,3.263456549,0.436511135,3.831912184,0.464478632,A bronze statue of a man stands before a modern apartment building. The subject displays facial malformations including misaligned eyes and a distorted nose. Surfaces show waxy pseudo-detail while background windows lack geometric consistency.
statue of a man,sd1.5_lowstep_000.jpg,0,3.389757837,0.386878257,4.180579424,0.381638488,"A statue of a man in historical clothing stands before dense trees. The figure shows severe distortion, with fused hands and a melted face. Surfaces are waxy with subtle background repetition."
statue of a man,sd1.5_normal_000.jpg,0,0.44999057,0.319877891,0.678198368,0.488624139,A heavily blurred dark silhouette stands against a plain light background. The subject is an unrecognizable form lacking any visible structural or semantic clarity. Global blur renders all textures and edges completely indistinct.
statue of a man,xl2.2_normal_000.jpg,0,3.088457462,0.495642922,3.458082253,0.571191471,"A bronze statue of a man stands atop a curved building against a blue sky. The figure's hands and feet are malformed, and facial features lack definition. Surfaces exhibit waxy textures and softened, indistinct details throughout."
house of the dragon,AttnGAN_normal_005.jpg,5,1.106599613,0.448890123,0.70896187,0.593561806,A stack of three rounded stones rests on a patchy ground with foliage. The subject is recognizable but shows significant blurring and softened geometric boundaries. Global oversmoothing and weak edge definition reduce texture clarity everywhere.
house of the dragon,DALLE2_normal_005.jpg,5,3.430745058,0.865400549,3.202040316,0.337856509,"A dragon sculpture rests on a traditional roof against a clear blue sky. The subject is structurally stable, though some ornamental details appear slightly fused. Global textures exhibit mild oversmoothing and some waxy surface qualities."
